EQP_TAG,EQP_NM,PARENT_TAG,PLANT_CD,EQP_TYPE,MAKER,INSTALL_DT,RATED_KW,RATED_RPM,CRIT_LVL,CBM_TGT_YN,DATA_AVL_YN
P1-BF1,제1고로,,BF1,라인,,1985-01-01,,,A,N,N
P1-BF1-BFR01,고로 본체,P1-BF1,BF1,고로,태평양엔지니어링(주),1995-11-30,,,A,N,N
P1-BF1-HSV01,열풍로 1호기,P1-BF1,BF1,열풍로,한성전기,1994-05-05,,,A,N,N
P1-BF1-HSV02,열풍로 2호기,P1-BF1,BF1,열풍로,신영정공,1993-09-10,,,A,N,N
P1-BF1-HSV03,열풍로 3호기,P1-BF1,BF1,열풍로,한성전기(주),1990-09-20,,,A,N,N
P1-BF1-BLW01,고로 송풍기,P1-BF1,BF1,송풍기,태평양ENG,,18000,750,A,Y,N
P1-BF1-PCI01,미분탄 취입설비,P1-BF1,BF1,취입설비,한성전기,1995-12-30,800,1500,B,N,N
P1-BF1-CAS01,주상 집진기,P1-BF1,BF1,집진기,태평양엔지니어링,1986-09-29,1500,990,B,N,N
P1-BF2,제2고로,,BF2,라인,,1995-01-01,,,A,N,N
P1-BF2-BFR01,고로 본체,P1-BF2,BF2,고로,한성전기,1998-07-01,,,A,N,N
P1-BF2-HSV01,열풍로 1호기,P1-BF2,BF2,열풍로,한성전기,2002-03-07,,,A,N,N
P1-BF2-HSV02,열풍로 2호기,P1-BF2,BF2,열풍로,신영정공주식회사,1996-10-22,,,A,N,N
P1-BF2-HSV03,열풍로 3호기,P1-BF2,BF2,열풍로,우진메탈텍,2003-05-12,,,A,N,N
P1-BF2-BLW01,고로 송풍기,P1-BF2,BF2,송풍기,동성기계,2004-03-30,22000,750,A,Y,N
P1-BF2-PCI01,미분탄 취입설비,P1-BF2,BF2,취입설비,동성기계공업,1996-05-03,900,1500,B,N,N
P1-BF2-CAS01,주상 집진기,P1-BF2,BF2,집진기,한성전기,1995-01-20,1500,990,B,N,N
P1-SM1,제강공장,,SM1,라인,,1990-01-01,,,A,N,N
P1-SM1-BOF01,전로 1호기,P1-SM1,SM1,전로,우진메탈텍,1995-04-06,,,A,N,N
P1-SM1-BOF02,전로 2호기,P1-SM1,SM1,전로,대한중공업,1999-04-08,,,A,N,N
P1-SM1-LFR01,래들정련로,P1-SM1,SM1,정련로,동성기계,1992-07-24,,,A,N,N
