PART_CD,PART_NM,PART_TYPE,APPLY_EQP_TYPE,STD_LIFE_H,LEAD_TIME_D
BRG-001,베어링 6206,베어링류,공통,31000,33
BRG-002,베어링 6210,베어링류,공통,24000,17
BRG-003,베어링 6312,베어링류,공통,30000,25
BRG-004,베어링 6316,베어링류,공통,42000,9
BRG-005,베어링 22218,베어링류,공통,46500,36
BRG-006,베어링 22220,베어링류,공통,45500,39
BRG-007,베어링 22320,베어링류,공통,42500,17
BRG-008,베어링 23024,베어링류,공통,44500,42
BRG-009,베어링 23130,베어링류,공통,40000,22
BRG-010,베어링 23222,베어링류,공통,30500,25
BRG-011,베어링 24040,베어링류,공통,28000,45
BRG-012,베어링 29420,베어링류,공통,36500,41
BRG-013,베어링 NU224,베어링류,공통,37500,13
BRG-014,베어링 NU320,베어링류,공통,26500,39
SEL-001,오일씰 50x72x8,실링,공통,9000,7
SEL-002,오일씰 60x85x10,실링,공통,11000,14
SEL-003,오일씰 80x110x13,실링,공통,6500,8
SEL-004,오일씰 100x130x13,실링,공통,9000,10
SEL-005,오일씰 120x150x15,실링,공통,7500,18
SEL-006,오일씰 150x190x18,실링,공통,8000,16
SEL-007,메커니컬씰 슬러리용,실링,교반기,4500,18
SEL-008,메커니컬씰 펌프용,실링,펌프,9500,29
SEL-009,O링 세트,실링,공통,4500,5
SEL-010,가스켓 세트,실링,공통,6000,10
PWT-001,V벨트 B-90,동력전달,공통,14000,6
PWT-002,V벨트 C-120,동력전달,공통,10000,5
PWT-003,V벨트 SPB-2500,동력전달,공통,13000,6
PWT-004,V벨트 SPB-3550,동력전달,공통,8000,18
PWT-005,V벨트 8V-2500,동력전달,공통,12500,11
PWT-006,V벨트 8V-3150,동력전달,공통,10000,17
PWT-007,커플링 엘리먼트,동력전달,공통,13500,28
PWT-008,기어커플링 그리드,동력전달,공통,27500,21
PWT-009,감속기 입력축 기어,동력전달,공통,47000,90
PWT-010,감속기 출력축 기어,동력전달,공통,53500,59
PWT-011,체인 스프라켓,동력전달,컨베이어,24000,28
ROT-001,배풍기 임펠러,회전체,원심팬,76500,79
ROT-002,배풍기 라이너,회전체,원심팬,16500,38
ROT-003,송풍기 임펠러,회전체,송풍기,57000,54
ROT-004,펌프 임펠러,회전체,펌프,25500,24
ROT-005,교반 임펠러,회전체,교반기,25500,40
ROT-006,교반축,회전체,교반기,31000,38
ROT-007,파쇄기 해머,회전체,파쇄기,7500,27
ROT-008,스크린 메쉬,회전체,스크린,5000,21
HYD-001,유압펌프 카트리지,유압,펌프,11000,55
HYD-002,유압 실린더 패킹,유압,공통,6500,24
HYD-003,서보밸브,유압,압연기,24000,63
HYD-004,어큐뮬레이터 블래더,유압,공통,9000,30
HYD-005,유압 필터 엘리먼트,유압,공통,4000,6
HYD-006,리턴 필터,유압,공통,3500,8
ELC-001,인버터 IGBT 모듈,전장,모터,55000,49
ELC-002,인버터 냉각팬,전장,모터,22500,22
ELC-003,전자접촉기 MC-100,전장,공통,39000,7
ELC-004,전자접촉기 MC-225,전장,공통,39000,9
ELC-005,서지 흡수기,전장,공통,32000,8
ELC-006,근접센서,전장,공통,20500,7
ELC-007,로터리 엔코더,전장,공통,20500,16
ELC-008,진동센서 가속도계,전장,공통,40000,42
ELC-009,모터 절연 권선,전장,모터,89000,83
ELC-010,카본 브러시,전장,모터,10000,12
HTR-001,전기히터 소자 Z1,열처리,연속로,19500,42
HTR-002,전기히터 소자 Z2,열처리,연속로,8500,56
HTR-003,전기히터 소자 Z3,열처리,연속로,18500,26
HTR-004,라디언트 튜브,열처리,연속로,53000,72
HTR-005,열전대 K형,열처리,공통,7000,5
HTR-006,열전대 R형,열처리,연속로,5500,16
HTR-007,노압 조절밸브,열처리,연속로,27500,50
HTR-008,CP 산소 프로브,열처리,연속로,7000,24
HTR-009,퍼니스롤,열처리,연속로,28000,85
HTR-010,노내 단열재,열처리,연속로,66000,49
HTR-011,버너 노즐,열처리,점화로,10500,47
HTR-012,점화 트랜스,열처리,점화로,34500,32
WLD-001,용접 전극팁,용접소모품,용접기,500,10
WLD-002,전극 홀더,용접소모품,용접기,6000,24
WLD-003,용접 케이블,용접소모품,용접기,18000,11
WLD-004,가압 실린더 패킹,용접소모품,용접기,12000,22
WLD-005,트리머 나이프,용접소모품,용접기,4000,19
RLL-001,워크롤,압연부품,압연기,3500,50
RLL-002,백업롤,압연부품,압연기,10000,86
RLL-003,롤 초크 베어링,압연부품,압연기,23500,57
RLL-004,스트립 가이드 슈,압연부품,압연기,4500,15
CCP-001,세그먼트 롤,연주부품,세그먼트,7500,45
CCP-002,몰드 동판,연주부품,몰드,6000,77
CCP-003,더미바 헤드,연주부품,세그먼트,11500,43
CCP-004,스프레이 노즐,연주부품,세그먼트,3000,19
DCP-001,백필터,집진,집진기,9500,23
DCP-002,펄스 밸브,집진,집진기,15000,33
DCP-003,로터리 밸브 베인,집진,집진기,13500,25
CVP-001,컨베이어 벨트,컨베이어부품,컨베이어,11500,51
CVP-002,캐리어 롤러,컨베이어부품,컨베이어,18500,15
CVP-003,리턴 롤러,컨베이어부품,컨베이어,26000,29
CVP-004,스크레이퍼 블레이드,컨베이어부품,컨베이어,4500,17
HST-001,와이어로프,권상,크레인,14000,42
HST-002,브레이크 라이닝,권상,크레인,8000,18
HST-003,훅 블록 베어링,권상,크레인,43500,43
BFP-001,고로 풍구,고로부품,고로,9500,88
BFP-002,스테이브 쿨러,고로부품,고로,70500,78
BFP-003,열풍변 시트링,고로부품,열풍로,16000,84
BFP-004,장입 슈트 라이너,고로부품,고로,14500,68
BFP-005,미분탄 취입 랜스,고로부품,취입설비,4500,38
BFP-006,송풍기 축 슬리브,고로부품,송풍기,26000,76
SMP-001,전로 랜스 노즐,제강부품,전로,2500,48
SMP-002,전로 내화벽돌,제강부품,전로,7000,69
SMP-003,래들 슬라이딩 노즐,제강부품,정련로,3500,45
SMP-004,포러스 플러그,제강부품,정련로,2000,44
SMP-005,RH 침적관,제강부품,탈가스설비,3000,60
SMP-006,전극봉,제강부품,정련로,2500,29
PKP-001,산세조 라이닝,산세부품,산세설비,29500,54
PKP-002,산세 순환펌프 케이싱,산세부품,산세설비,25500,42
PKP-003,린스 스프레이 헤더,산세부품,산세설비,11500,29
PKP-004,텐션 브라이들 롤,산세부품,정정설비,15500,51
PKP-005,사이드 트리머 블레이드,산세부품,정정설비,3500,22
PKP-006,코일 맨드릴 세그먼트,산세부품,정정설비,23000,54
INS-001,압력 트랜스미터,계장,공통,34000,23
INS-002,차압 트랜스미터,계장,공통,31500,17
INS-003,전자 유량계,계장,공통,40500,44
INS-004,초음파 레벨계,계장,공통,22000,32
INS-005,방사 온도계,계장,연속로,19500,23
INS-006,가스 분석계 셀,계장,연속로,9500,31
INS-007,제어밸브 포지셔너,계장,공통,32000,27
INS-008,솔레노이드 밸브,계장,공통,13000,17
LUB-001,그리스 급지 펌프,윤활,공통,33000,35
