WO_NO,PART_CD,QTY,CHG_RSN
WO-2024-00005,INS-004,3,예방
WO-2024-00011,CWP-002,1,수명도래
WO-2024-00013,SEL-006,3,손상
WO-2024-00014,INS-007,1,수명도래
WO-2024-00015,BRG-014,1,수명도래
WO-2024-00020,SEL-009,2,수명도래
WO-2024-00022,INS-003,2,예방
WO-2024-00023,SEL-004,1,손상
WO-2024-00028,SEL-009,2,예방
WO-2024-00039,PWT-003,2,수명도래
WO-2024-00041,SEL-009,2,손상
WO-2024-00059,SEL-009,3,손상
WO-2024-00061,BRG-004,2,손상
WO-2024-00065,BFP-005,2,손상
WO-2024-00077,INS-004,2,수명도래
WO-2024-00079,BFP-003,2,손상
WO-2024-00084,SEL-008,2,수명도래
WO-2024-00086,SEL-006,1,수명도래
WO-2024-00092,SEL-005,1,손상
WO-2024-00093,PWT-006,1,수명도래
WO-2024-00094,LUB-005,2,예방
WO-2024-00098,SEL-009,4,예방
WO-2024-00117,SEL-003,1,예방
WO-2024-00119,HYD-006,1,손상
WO-2024-00121,WLD-003,2,손상
WO-2024-00123,LUB-003,1,예방
WO-2024-00142,ELC-008,1,손상
WO-2024-00146,CCP-003,1,손상
WO-2024-00147,SEL-003,1,손상
WO-2024-00153,BRG-008,2,수명도래
WO-2024-00155,SEL-001,3,예방
WO-2024-00156,WLD-005,2,예방
WO-2024-00163,SEL-001,3,손상
WO-2024-00166,PWT-003,2,수명도래
WO-2024-00171,INS-008,2,손상
WO-2024-00172,SEL-003,3,손상
WO-2024-00172,SEL-006,4,수명도래
WO-2024-00177,PWT-005,1,손상
WO-2024-00179,SEL-002,2,손상
WO-2024-00180,BRG-003,2,예방
WO-2024-00185,SEL-003,2,예방
WO-2024-00193,SEL-003,1,수명도래
WO-2024-00196,SEL-010,3,수명도래
WO-2024-00209,LUB-004,2,손상
WO-2024-00215,PWT-007,2,예방
WO-2024-00224,SEL-004,4,예방
WO-2024-00225,PWT-007,1,손상
WO-2024-00226,INS-002,3,예방
WO-2024-00230,SEL-002,2,예방
WO-2024-00237,SMP-003,2,손상
WO-2024-00239,INS-002,1,수명도래
WO-2024-00241,HYD-006,1,손상
WO-2024-00241,HYD-006,2,손상
WO-2024-00247,SEL-009,1,손상
WO-2024-00248,HYD-001,1,손상
WO-2024-00261,SEL-006,2,예방
WO-2024-00267,CWP-002,1,예방
WO-2024-00267,SEL-006,1,수명도래
WO-2024-00270,SEL-001,2,손상
WO-2024-00280,SEL-010,4,예방
WO-2024-00291,PWT-007,1,예방
WO-2024-00296,CCP-004,1,손상
WO-2024-00304,ELC-004,2,예방
WO-2024-00305,SEL-009,4,수명도래
WO-2024-00307,SEL-009,4,손상
WO-2024-00309,BRG-008,2,수명도래
WO-2024-00309,SEL-003,2,손상
WO-2024-00313,SEL-009,4,수명도래
WO-2024-00314,INS-002,1,수명도래
WO-2024-00315,INS-008,2,수명도래
WO-2024-00321,HYD-006,2,손상
WO-2024-00322,DCP-002,1,수명도래
WO-2024-00330,ELC-004,1,손상
WO-2024-00342,SEL-003,3,수명도래
WO-2024-00350,HYD-006,2,손상
