EVT_ID,EVT_DT,EVT_TYPE,PLANT_CD,BEF_VAL,AFT_VAL
EVT-2024-0001,2024-01-02 03:36,강종변경,CR1,SPCC,SGCC
EVT-2024-0002,2024-01-05 23:46,강종변경,CR1,SGCC,SPFH590
EVT-2024-0003,2024-01-08 21:23,강종변경,CR1,SPFH590,SGCC
EVT-2024-0004,2024-01-11 13:33,원료배합변경,BF1,AUS60:BRA40,AUS55:BRA45
EVT-2024-0005,2024-01-11 22:34,강종변경,CR1,SGCC,SPCD
EVT-2024-0006,2024-01-14 18:48,조업률변경,BF2,85%,92%
EVT-2024-0007,2024-01-15 06:13,조업률변경,SP2,87%,93%
EVT-2024-0008,2024-01-15 19:01,강종변경,CR1,SPCD,SPFH590
EVT-2024-0009,2024-01-16 07:07,조업률변경,BF1,92%,99%
EVT-2024-0010,2024-01-18 13:37,강종변경,CR1,SPFH590,SPHC
EVT-2024-0011,2024-01-19 02:03,조업률변경,BF1,99%,100%
EVT-2024-0012,2024-01-19 11:03,조업률변경,SP1,88%,94%
EVT-2024-0013,2024-01-21 02:21,강종변경,CR1,SPHC,SPFH590
EVT-2024-0014,2024-01-22 01:06,조업률변경,SP1,94%,95%
EVT-2024-0015,2024-01-24 06:01,강종변경,CR1,SPFH590,SPCEN
EVT-2024-0016,2024-01-25 17:58,조업률변경,BF2,92%,99%
EVT-2024-0017,2024-01-27 00:03,강종변경,CR1,SPCEN,SPCD
EVT-2024-0018,2024-01-27 23:56,조업률변경,BF2,90%,85%
EVT-2024-0019,2024-01-30 15:57,강종변경,CR1,SPCD,SGCC
EVT-2024-0020,2024-02-02 07:17,강종변경,CR1,SGCC,SPCEN
EVT-2024-0021,2024-02-03 20:41,조업률변경,BF2,91%,89%
EVT-2024-0022,2024-02-04 02:05,조업률변경,SP2,93%,91%
EVT-2024-0023,2024-02-04 14:42,강종변경,CR1,SPCEN,SPFH590
EVT-2024-0024,2024-02-06 06:51,강종변경,CR1,SPFH590,SPHC
EVT-2024-0025,2024-02-08 03:09,강종변경,CR1,SPHC,SPCEN
EVT-2024-0026,2024-02-11 22:58,강종변경,CR1,SPCEN,SGCC
EVT-2024-0027,2024-02-12 07:21,조업률변경,BF1,96%,100%
EVT-2024-0028,2024-02-13 00:18,강종변경,CR1,SGCC,SPCE
EVT-2024-0029,2024-02-14 12:29,조업률변경,SP1,91%,94%
EVT-2024-0030,2024-02-16 18:39,강종변경,CR1,SPCE,SPCEN
EVT-2024-0031,2024-02-16 23:42,조업률변경,BF2,99%,91%
EVT-2024-0032,2024-02-17 11:02,조업률변경,BF1,98%,96%
