MEAS_DT,EQP_CD,SLAB_NO,WD-SPD,WD-LOD,OSC-FRQ,OSC-STK,MLD-LVL
2024-01-08 00:00:00.000,CC1,S24-00001,308,7962,364,5975,9270
2024-01-08 00:00:00.000,CC1,S24-00001,308,7962,364,5975,9270
2024-01-08 00:00:00.300,CC1,S24-00001,319,8351,360,5964,9270
2024-01-08 00:00:00.300,CC1,S24-00001,319,8351,360,5964,9270
2024-01-08 00:00:00.500,CC1,S24-00001,320,8312,361,5983,9270
2024-01-08 00:00:00.500,CC1,S24-00001,320,8312,361,5983,9270
2024-01-08 00:00:00.700,CC1,S24-00001,319,8346,359,6049,9275
2024-01-08 00:00:00.700,CC1,S24-00001,319,8346,359,6049,9285
2024-01-08 00:00:00.900,CC1,S24-00001,320,8323,357,6056,9288
2024-01-08 00:00:00.900,CC1,S24-00001,320,8323,357,6056,9289
2024-01-08 00:00:01.000,CC1,S24-00001,320,8295,360,6025,9288
2024-01-08 00:00:01.000,CC1,S24-00001,320,8295,360,6025,9290
2024-01-08 00:00:01.300,CC1,S24-00001,321,8275,361,5992,9300
2024-01-08 00:00:01.300,CC1,S24-00001,321,8275,361,5992,9301
2024-01-08 00:00:01.500,CC1,S24-00001,308,8294,361,5997,9300
2024-01-08 00:00:01.500,CC1,S24-00001,308,8294,361,5997,9303
2024-01-08 00:00:01.700,CC1,S24-00001,319,8324,359,6018,9317
2024-01-08 00:00:01.700,CC1,S24-00001,319,8324,359,6018,9319
2024-01-08 00:00:01.900,CC1,S24-00001,320,8321,360,6046,9320
2024-01-08 00:00:01.900,CC1,S24-00001,320,8321,360,6046,9324
2024-01-08 00:00:02.200,CC1,S24-00001,320,8309,358,6041,9333
2024-01-08 00:00:02.200,CC1,S24-00001,320,8309,358,6041,9335
2024-01-08 00:00:02.500,CC1,S24-00001,321,8296,357,6041,9330
2024-01-08 00:00:02.500,CC1,S24-00001,321,8296,357,6041,9327
2024-01-08 00:00:02.600,CC1,S24-00001,319,8359,365,5948,9328
2024-01-08 00:00:02.600,CC1,S24-00001,319,8359,365,5948,9329
2024-01-08 00:00:02.900,CC1,S24-00001,308,7934,363,5948,9319
2024-01-08 00:00:02.900,CC1,S24-00001,308,7934,363,5948,9310
2024-01-08 00:00:03.200,CC1,S24-00001,308,7934,362,6003,9308
2024-01-08 00:00:03.200,CC1,S24-00001,308,7934,362,6003,9305
2024-01-08 00:00:03.300,CC1,S24-00001,308,7934,359,6038,9300
