MEAS_DT,COIL_ID,SEQ_NO,SPD,LEN,PWR,SET-FRQ,SET-DTY,SET-PWR,GATE-MS
2024-01-03 10:11:45.181,C2400001,1,250,241.1,1688,1000,100,82,1154
2024-01-03 10:11:48.487,C2400001,2,250,241.2,1713,1000,100,83,1670
2024-01-03 10:11:51.245,C2400001,3,250,241.1,1695,1000,100,82,1153
2024-01-03 10:11:54.493,C2400001,4,250,241.2,1717,1000,100,83,1670
2024-01-03 10:11:57.269,C2400001,5,250,241.1,1698,1000,100,82,1154
2024-01-03 10:12:00.659,C2400001,6,250,241.2,1719,1000,100,83,1670
2024-01-03 10:12:06.660,C2400001,7,250,241.1,1697,1000,100,82,1153
2024-01-03 10:12:09.910,C2400001,8,250,241.2,1719,1000,100,83,1670
2024-01-03 10:12:12.674,C2400001,9,250,241.1,1699,1000,100,82,1154
2024-01-03 10:12:15.900,C2400001,10,250,241.2,1722,1000,100,83,1670
2024-01-03 10:12:18.684,C2400001,11,250,241.1,1700,1000,100,82,1154
2024-01-03 10:12:22.008,C2400001,12,250,241.2,1723,1000,100,83,1670
2024-01-03 10:12:26.774,C2400001,13,30,19.4,692,1000,100,38,650
2024-01-03 10:12:28.506,C2400001,14,30,19.4,692,1000,100,38,650
2024-01-03 10:12:31.410,C2400001,15,30,19.4,692,1000,100,38,650
2024-01-03 10:12:34.702,C2400001,16,30,19.4,692,1000,100,38,650
2024-01-03 10:12:36.378,C2400001,17,30,19.4,692,1000,100,38,650
2024-01-03 10:12:38.084,C2400001,18,30,19.4,691,1000,100,38,650
2024-01-03 10:12:59.328,C2400001,19,250,241.1,1714,1000,100,83,1670
2024-01-03 10:13:02.038,C2400001,20,250,241.2,1698,1000,100,82,1154
2024-01-03 10:13:05.500,C2400001,21,250,241.1,1721,1000,100,83,1670
2024-01-03 10:13:08.128,C2400001,22,250,241.2,1700,1000,100,82,1154
2024-01-03 10:13:11.628,C2400001,23,250,241.1,1722,1000,100,83,1670
2024-01-03 10:13:14.262,C2400001,24,250,241.2,1702,1000,100,82,1154
2024-01-03 10:13:20.910,C2400001,25,250,241.1,1721,1000,100,83,1670
2024-01-03 10:13:23.494,C2400001,26,250,241.2,1702,1000,100,82,1154
2024-01-03 10:13:26.986,C2400001,27,250,241.1,1724,1000,100,83,1670
2024-01-03 10:13:29.598,C2400001,28,250,241.2,1703,1000,100,82,1154
2024-01-03 10:13:33.116,C2400001,29,250,241.1,1726,1000,100,83,1670
2024-01-03 10:13:35.708,C2400001,30,250,241.2,1704,1000,100,82,1154
2024-01-03 10:13:40.146,C2400001,31,30,19.4,692,1000,100,38,650
2024-01-03 10:13:41.676,C2400001,32,30,19.4,691,1000,100,38,650
2024-01-03 10:13:44.756,C2400001,33,30,19.4,692,1000,100,38,650
2024-01-03 10:13:46.496,C2400001,34,30,19.4,692,1000,100,38,650
2024-01-03 10:13:49.988,C2400001,35,30,19.4,692,1000,100,38,650
2024-01-03 10:13:51.654,C2400001,36,30,19.4,692,1000,100,38,650
2024-01-03 10:13:53.390,C2400001,37,30,19.4,692,1000,100,38,650
2024-01-03 10:13:56.410,C2400001,38,30,19.4,692,1000,100,38,650
2024-01-03 10:13:57.874,C2400001,39,30,19.4,692,1000,100,38,650
2024-01-03 10:29:49.718,C2400002,1,250,241.1,1688,1000,100,82,1154
