MEAS_DT,BURST_ID,EQP_CD,SMP_NO,VIB-AGT
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,1,0.064453125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,2,0.240234375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,3,-0.12890625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,4,-0.92578125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,5,-1.037109375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,6,-1.13671875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,7,-1.41796875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,8,-2.70703125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,9,-2.888671875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,10,-3.052734375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,11,-2.900390625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,12,-3.03515625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,13,-2.912109375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,14,-3.0234375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,15,-2.923828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,16,-3.017578125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,17,-2.935546875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,18,-3.01171875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,19,-2.94140625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,20,-3.005859375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,21,-1.96484375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,22,-2.0
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,23,-1.96875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,24,-1.53125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,25,-0.58203125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,26,0.91015625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,27,0.3125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,28,-0.58984375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,29,-1.41015625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,30,-1.26171875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,31,-0.859375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,32,0.98828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,33,1.78515625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,34,2.0234375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,35,1.8046875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,36,2.00390625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,37,1.82421875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,38,1.98828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,39,2.13671875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,40,2.00390625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,41,1.8828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,42,1.9921875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,43,2.09375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,44,2.00390625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,45,1.921875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,46,0.77734375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,47,0.28515625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,48,1.9296875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,49,2.1484375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,50,1.94921875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,51,2.12890625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,52,1.96484375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,53,2.11328125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,54,1.98046875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,55,1.12109375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,56,0.5625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,57,-0.55859375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,58,-0.70703125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,59,-0.03125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,60,0.828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,61,0.49609375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,62,-0.421875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,63,-1.28125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,64,-2.0625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,65,-1.9609375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,66,-2.05078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,67,-1.96875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,68,-2.04296875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,69,-1.9765625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,70,-2.0390625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,71,-1.984375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,72,-2.03515625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,73,-1.98828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,74,-2.03125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,75,-1.9921875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,76,-2.02734375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,77,-1.546875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,78,-0.5078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,79,-0.953125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,80,-1.0859375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,81,-1.9453125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,82,-2.0546875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,83,-1.953125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,84,-2.04296875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,85,-0.94921875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,86,0.09375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,87,1.31640625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,88,2.13671875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,89,1.98828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,90,2.12109375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,91,1.75390625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,92,1.421875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,93,1.9296875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,94,2.01953125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,95,1.9375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,96,2.01171875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,97,1.9453125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,98,2.0078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,99,1.953125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,100,1.59375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,101,1.330078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,102,0.263671875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,103,2.068359375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,104,2.806640625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,105,3.029296875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,106,2.830078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,107,0.796875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,108,-1.095703125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,109,-1.833984375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,110,-1.611328125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,111,-1.0078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,112,-0.087890625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,113,0.41015625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,114,-0.046875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,115,-1.5703125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,116,-2.98828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,117,-3.169921875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,118,-3.005859375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,119,-2.853515625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,120,-2.98828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,121,-1.7421875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,122,-0.75
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,123,-0.8828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,124,-1.49609375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,125,-2.0546875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,126,-1.953125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,127,-2.04296875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,128,-1.9609375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,129,-2.03515625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,130,-1.2734375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,131,0.05078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,132,0.58984375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,133,0.09765625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,134,-0.34765625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,135,-0.75
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,136,-0.3828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,137,-0.05078125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,138,1.0703125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,139,1.515625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,140,1.3828125
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,141,1.99609375
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,142,2.10546875
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,143,2.00390625
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,144,1.9140625
